[2026-05-16 21:57:18] DITOLAK Skor 40% Nominal Rp405000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 405.000', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 40}
[2026-05-16 21:57:19] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:19] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:20] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:20] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:20] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:21] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:21] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:21] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:21] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:22] DITOLAK Skor 70% Nominal Rp200500 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp200.500', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 70}
